player,position,team,age,club,birth_year,description,image
Michael Estrada,FW,Ecuador,26,Cruz Azul,1996,Michael Estrada is a forward known for his goal-scoring abilities and movement in the box. He has showcased his skills in various leagues and competitions.,
Michał Skóraś,MF,Poland,22,Lech Poznań,2000,Michał Skóraś is a central defender known for his defensive attributes and aerial dominance. He provides solidity to the backline and contributes to set-piece situations.,"https://digitalhub.fifa.com/transform/e902e030-16b7-44da-bc1d-c4c1400be573/1442527857?io=transform:fill,aspectratio:1x1,width:320,gravity:top&quality=75"
Michel Aebischer,MF,Switzerland,25,Bologna,1997,"Michel Aebischer is a midfielder known for his passing accuracy, defensive contributions, and ability to control the midfield. He provides stability and ball circulation.",
Michy Batshuayi,FW,Belgium,29,Fenerbahçe,1993,"Michy Batshuayi is a forward known for his goal-scoring abilities, movement in the box, and physical presence. He contributes to his team's offensive movements and set-piece situations.","https://digitalhub.fifa.com/transform/0076a0d4-18ff-4e44-a9b5-297b5693dfe4/1442831198?io=transform:fill,aspectratio:1x1,width:320,gravity:top&quality=75"
Miki Yamane,DF,Japan,28,Kawa Frontale,1993,Miki Yamane is a defender known for his defensive attributes and versatility. He offers tactical flexibility and contributes in various defensive positions.,
Mikkel Damsgaard,MF,Denmark,22,Brentford,2000,"Mikkel Damsgaard is a forward known for his dribbling ability, playmaking skills, and goal-scoring prowess. He contributes to his team's offensive movements with creativity and flair.",
Milad Mohammadi,DF,IR Iran,29,AEK Athens,1993,"Milad Mohammadi is a left-back known for his defensive skills and overlapping runs. He contributes to both defense and attack, making him a valuable asset on the flanks.",
Milan Borjan,GK,Canada,35,Red Star,1987,Milan Borjan is a goalkeeper known for his shot-stopping abilities and commanding presence in the penalty area. He plays a crucial role in organizing his team's defense.,
Miloš Degenek,DF,Australia,28,Columbus Crew,1994,Miloš Degenek is a defender known for his defensive attributes and leadership qualities. He provides solidity to the backline and contributes to set-piece situations.,"https://digitalhub.fifa.com/transform/4db65003-9d44-4ae3-9e99-9c1decde80ee/Australia-Portraits-FIFA-World-Cup-Qatar-2022?io=transform:fill,aspectratio:1x1,width:320,gravity:top&quality=75"
Miloš Veljković,DF,Serbia,27,Werder Bremen,1995,Miloš Veljković is a central defender known for his defensive attributes and composure on the ball. He contributes to both defense and building from the back.,
Mislav Oršić,FW,Croatia,29,Dinamo Zagreb,1992,"Mislav Oršić is a forward known for his dribbling ability, creativity, and goal-scoring prowess. He contributes to his team's offensive movements with flair and agility.","https://digitalhub.fifa.com/transform/55edadf5-ec8c-4ebb-b61e-4b51f769c977/1442834297?io=transform:fill,aspectratio:1x1,width:320,gravity:top&quality=75"
Mitchell Duke,FW,Australia,31,Fagi Okayama,1991,"Mitchell Duke is a forward known for his goal-scoring abilities, movement in the box, and physical presence. He contributes to his team's offensive movements and set-piece situations.","https://digitalhub.fifa.com/transform/6d8bc1a2-9372-4be3-be28-9786bd087fc4/Australia-Portraits-FIFA-World-Cup-Qatar-2022?io=transform:fill,aspectratio:1x1,width:320,gravity:top&quality=75"
Mohamed Ali Ben Romdhane,MF,Tunisia,23,Espérance de Tunis,1999,"Mohamed Ali Ben Romdhane is a midfielder known for his passing accuracy, defensive contributions, and ability to control the midfield. He provides stability and ball circulation.",
Mohamed Drger,DF,Tunisia,26,Luzern,1996,Mohamed Drger is a defender known for his defensive attributes and versatility. He offers tactical flexibility and contributes in various defensive positions.,
Mohamed Kanno,MF,Saudi Arabia,28,Al-Hilal,1994,"Mohamed Kanno is a midfielder known for his passing accuracy, defensive contributions, and ability to control the midfield. He provides stability and ball circulation.",
Mohammed Al-Breik,DF,Saudi Arabia,30,Al-Hilal,1992,"Mohammed Al-Breik is a defender known for his defensive skills and overlapping runs. He contributes to both defense and attack, making him a valuable asset on the flanks.",
Mohammed Al-Owais,GK,Saudi Arabia,31,Al-Hilal,1991,Mohammed Al-Owais is a goalkeeper known for his shot-stopping abilities and commanding presence in the penalty area. He plays a crucial role in organizing his team's defense.,
Mohammed Muntari,FW,Qatar,28,Al Duhail SC,1993,Mohammed Muntari is a forward known for his goal-scoring abilities and movement in the box. He has showcased his skills in various leagues and competitions.,"https://digitalhub.fifa.com/transform/58246f45-3a40-440b-b047-c5eda408c32d/Qatar-Portraits-FIFA-World-Cup-Qatar-2022?io=transform:fill,aspectratio:1x1,width:320,gravity:top&quality=75"
Mohammed Salisu,DF,Ghana,23,Southampton,1999,"Mohammed Salisu is a central defender known for his defensive attributes, aerial dominance, and leadership qualities. He provides solidity and organization to the backline.",
Mohammed Waad,MF,Qatar,23,Al Sadd SC,1999,Mohammed Waad is a forward known for his goal-scoring abilities and movement in the box. He has showcased his skills in various leagues and competitions.,"https://digitalhub.fifa.com/transform/74871e91-20c5-4b4d-b2ba-21b5a4383f90/Qatar-Portraits-FIFA-World-Cup-Qatar-2022?io=transform:fill,aspectratio:1x1,width:320,gravity:top&quality=75"
Moisés Caicedo,MF,Ecuador,21,Brighton,2001,"Moisés Caicedo is a midfielder known for his passing accuracy, box-to-box capabilities, and defensive contributions. He provides stability and ball circulation.","https://digitalhub.fifa.com/transform/00fd3d24-b26c-48ac-a4b0-11127bb6b99b/1442158632?io=transform:fill,aspectratio:1x1,width:320,gravity:top&quality=75"
Montassar Talbi,DF,Tunisia,24,Lorient,1998,Montassar Talbi is a defender known for his defensive attributes and versatility. He offers tactical flexibility and contributes in various defensive positions.,
Morteza Pouraliganji,DF,IR Iran,30,Persepolis,1992,Morteza Pouraliganji is a central defender known for his defensive attributes and aerial dominance. He provides solidity to the backline and contributes to set-piece situations.,
Moumi Ngamaleu,FW,Cameroon,28,Dynamo Mosc,1994,"Moumi Ngamaleu is a forward known for his goal-scoring abilities, movement in the box, and physical presence. He contributes to his team's offensive movements and set-piece situations.","https://digitalhub.fifa.com/transform/9159c8d4-9a09-494e-acd9-5884e0fc758c/1443093122?io=transform:fill,aspectratio:1x1,width:320,gravity:top&quality=75"
Sofiane Boufal,FW,Morocco,29,Angers,1993,"Sofiane Boufal is a midfielder known for his dribbling ability, creativity, and playmaking abilities. He contributes to his team's offensive movements with flair and vision.","https://digitalhub.fifa.com/transform/84676693-2965-42a6-9a82-12ce8c68e8c6/Morocco-Portraits-FIFA-World-Cup-Qatar-2022?io=transform:fill,aspectratio:1x1,width:320,gravity:top&quality=75"
Musab Kheder,DF,Qatar,29,Al Sadd SC,1993,"Musab Kheder is a midfielder known for his passing accuracy, playmaking abilities, and ability to control the midfield. He contributes to ball circulation and creating scoring opportunities.","https://digitalhub.fifa.com/transform/e769273c-4116-4cd8-91e3-97abcdaa5817/Qatar-Portraits-FIFA-World-Cup-Qatar-2022?io=transform:fill,aspectratio:1x1,width:320,gravity:top&quality=75"
Na Sang-ho,FW,Korea Republic,26,FC Seoul,1996,Na Sang-ho is a forward known for his goal-scoring abilities and movement in the box. He has showcased his skills in various leagues and competitions.,
Nader Ghandri,DF,Tunisia,27,Club Africain,1995,Nader Ghandri is a midfielder known for his passing accuracy and ability to control the midfield. He contributes to ball circulation and creating scoring opportunities.,
Lisandro Martínez,DF,Argentina,24,Manchester Utd,1998,Lisandro Martínez is a versatile player known for his adaptability in different positions. He offers tactical flexibility and contributes in both defensive and offensive phases.,"https://digitalhub.fifa.com/transform/5c6bc06c-6694-4863-b543-e74b672741a3/1442801367?io=transform:fill,aspectratio:1x1,width:320,gravity:top&quality=75"
Nampalys Mendy,MF,Senegal,30,Leicester City,1992,"Nampalys Mendy is a midfielder known for his passing accuracy, defensive contributions, and ability to control the midfield. He provides stability and ball circulation.",
Nasser Al-Dawsari,FW,Saudi Arabia,23,Al-Hilal,1998,"Nasser Al-Dawsari is a forward known for his dribbling ability, creativity, and goal-scoring prowess. He contributes to his team's offensive movements with flair and agility.",
Nathan Aké,DF,Netherlands,27,Manchester City,1995,Nathan Aké is a defender known for his defensive attributes and versatility. He offers tactical flexibility and contributes in various defensive positions.,"https://digitalhub.fifa.com/transform/1060b2b3-6079-49fc-bf41-48a028e08da7/1442167854?io=transform:fill,aspectratio:1x1,width:320,gravity:top&quality=75"
Nathaniel Atkinson,DF,Australia,23,Hearts,1999,"Nathaniel Atkinson is a defender known for his defensive attributes and overlapping runs. He contributes to both defense and attack, making him a valuable asset on the flanks.","https://digitalhub.fifa.com/transform/1b5aed14-761f-47a8-b8e6-b02d805c295d/Australia-Portraits-FIFA-World-Cup-Qatar-2022?io=transform:fill,aspectratio:1x1,width:320,gravity:top&quality=75"
Nawaf Al Abed,MF,Saudi Arabia,32,Al-Shabab,1990,"Nawaf Al Abed is a midfielder known for his passing accuracy, playmaking abilities, and ability to control the midfield. He contributes to ball circulation and creating scoring opportunities.",
Walid Cheddira,FW,Morocco,24,Bari,1998,"Walid Cheddira is a midfielder known for his passing accuracy, box-to-box capabilities, and defensive contributions. He provides energy and stability to the midfield.","https://digitalhub.fifa.com/transform/97604e6b-ca73-48d6-b247-442cdb0c15a8/Morocco-Portraits-FIFA-World-Cup-Qatar-2022?io=transform:fill,aspectratio:1x1,width:320,gravity:top&quality=75"
Naïm Sliti,MF,Tunisia,30,Al-Ettifaq,1992,"Naïm Sliti is a midfielder known for his dribbling ability, creativity, and playmaking skills. He contributes to his team's offensive movements with flair and agility.",
Neco Williams,DF,Wales,21,Nott'ham Forest,2001,"Neco Williams is a defender known for his defensive skills and overlapping runs. He contributes to both defense and attack, making him a valuable asset on the flanks.",
Nemanja Gudelj,MF,Serbia,31,Sevilla,1991,"Nemanja Gudelj is a midfielder known for his passing accuracy, defensive contributions, and ability to control the midfield. He provides stability and ball circulation.",
Nemanja Maksimović,MF,Serbia,27,Getafe,1995,"Nemanja Maksimović is a midfielder known for his passing accuracy, defensive contributions, and ability to control the midfield. He provides stability and ball circulation.",
Nemanja Radonjić,DF,Serbia,26,Torino,1996,"Nemanja Radonjić is a forward known for his dribbling ability, creativity, and goal-scoring prowess. He contributes to his team's offensive movements with flair and agility.",
Martinelli,FW,Brazil,21,Arsenal,2001,"Martinelli is a forward known for his speed, dribbling ability, and goal-scoring prowess. He contributes to his team's offensive movements with his flair and agility.","https://digitalhub.fifa.com/transform/708e64be-d322-44ed-b1de-1c305e7da442/1443021960?io=transform:fill,aspectratio:1x1,width:320,gravity:top&quality=75"
Niclas Füllkrug,FW,Germany,29,Werder Bremen,1993,"Niclas Füllkrug is a forward known for his goal-scoring abilities, movement in the box, and physical presence. He contributes to his team's offensive movements and set-piece situations.","https://digitalhub.fifa.com/transform/8c4c09c8-34fc-41c6-88f7-726716de3f17/1442304691?io=transform:fill,aspectratio:1x1,width:320,gravity:top&quality=75"
Nico Elvedi,DF,Switzerland,26,M'Gladbach,1996,Nico Elvedi is a central defender known for his defensive attributes and composure on the ball. He contributes to both defense and building from the back.,
Nico Schlotterbeck,DF,Germany,23,Dortmund,1999,Nico Schlotterbeck is a central defender known for his defensive attributes and aerial dominance. He provides solidity to the backline and contributes to set-piece situations.,"https://digitalhub.fifa.com/transform/88ad405f-ad63-4b8a-8772-beed58427111/1442304776?io=transform:fill,aspectratio:1x1,width:320,gravity:top&quality=75"
Nico Williams,FW,Spain,20,Athletic Club,2002,"Nico Williams is a defender known for his defensive skills and overlapping runs. He contributes to both defense and attack, making him a valuable asset on the flanks.","https://digitalhub.fifa.com/transform/0c54f295-1459-4e47-b2ce-d40500aedbf4/1442551969?io=transform:fill,aspectratio:1x1,width:320,gravity:top&quality=75"
Nicola Zalewski,MF,Poland,20,Roma,2002,"Nicola Zalewski is a midfielder known for his passing accuracy, playmaking abilities, and ability to control the midfield. He contributes to ball circulation and creating scoring opportunities.",
Nicolas Jackson,FW,Senegal,21,Villarreal,2001,Nicolas Jackson is a defender known for his defensive attributes and versatility. He offers tactical flexibility and contributes in various defensive positions.,
